,Know My Name,Alternative Name,category (Justin),category (SoN),Source,Notes
1,"(Budden) Phoenix, Frances",Frances Budden,Surname Change,Pseudonym,DAAO Alternative Name,Legal name Frances Budden.
2,"(Budden) Phoenix, Frances",Frances Phoenix,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
3,"Beckett, Clarice",Clarice Marjoribanks Beckett,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
4,"Black, Dorrit",Dorothea (Dorrit) Foster Black,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
5,"Black, Dorrit",Dorothea Foster Black,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
6,"Blumann, Elise",Elise Margot Paula Rudolphina Hulda Blumann,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
7,"Bowen, Stella",Esther Gwendolyn Bowen,Other,Pseudonym,DAAO Alternative Name,Born Esther Gwendolyn Bowen. Stella is not a standard nickname for Esther.
8,"Brassil, Joan",Rita Joan Brassil,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
9,"Brassington, Pat",Patricia Trayling,Surname Change,Name Change,DAAO Alternative Name,
10,"Broadhurst, Florence",Florence Maude Broadhurst,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
11,"Broome-Norton, Jean",Isabel Jean Broome,Extended/Shortened Name,Name Change,DAAO Alternative Name,
12,"Broome-Norton, Jean",Jean Broome,Surname Change,Name Change,DAAO Alternative Name,
13,"Carrick, Ethel",Ethel Carrick Fox,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
14,"Carrick, Ethel",E. Carrick Fox,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
15,"Carrick, Ethel",Carrick,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
16,"Chapman, Dora",Dora Cant,Surname Change,Name Change,DAAO Alternative Name,Married James Cant.
17,"Christmann, Jenny",Hannelore Bangert,Surname Change,Name Change,DAAO Alternative Name,"Born Hannelore (Sophia) Bangert, married Gunter Christmann in 1967"
18,"Christmann, Jenny",Hannelore Bangert,Other,Pseudonym,DAAO Alternative Name,Born Hannelore (Sophia) Bangert. Jenny was a Pseudonym (not a standard nickname for Hannelore)
19,"Cohn, Ola",Carola (Ola) Cohn,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
20,"Cohn, Ola",Carola Cohn,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
21,"Cohn, Ola",Ola Green,Extended/Shortened Name,Name Change,AWR Alternative Name,"Born Carola Cohn, married John Green."
22,"Cossington Smith, Grace",Grace Smith,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
23,"Cotton, Olive",Olive Edith Cotton,Extended/Shortened Name,Alternative Rendering,"AWR Alternative Name, DAAO Alternative Name",
24,"Crowley, Grace",Grace Adela Williams Crowley,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
25,"Dangar, Anne",Annie Garvin Dangar,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
26,"Dangar, Anne",Nancy Dangar,Other,Pseudonym,DAAO Alternative Name,Nancy was her family nickname
27,"Davidson, Bessie",Bessie Ellen Davidson,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
28,"Debenham, Pam",Pamela Elizabeth Debenham,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
29,"Dobson, Rosemary",Rosemary de Brissac Dobson,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
30,"Dobson, Rosemary",Rosemary Bolton,Surname Change,Name Change,AWR Alternative Name,"Born Rosemary de Brissac Dobson, married Alec Bolton."
31,"Dobson, Rosemary",Rosemary Dobson Bolton,Surname Change,Name Change,AWR Alternative Name,"Born Rosemary de Brissac Dobson, married Alec Bolton."
32,"Englund, Patricia",Patricia Burge,Surname Change,Name Change,DAAO Alternative Name,"Born Patricia Burge, married Ivan Englund."
33,"Featherston, Mary",Mary Curry,Surname Change,Name Change,DAAO Alternative Name,"Born Mary Bronwyn Curry, married Grant Featherston."
34,"Fullard, Corrie",Corrie Mansell,Surname Change,Name Change,DAAO Alternative Name,"Born Corrie Lavinia Mansell, married Charles Fullard."
35,"Gabori, Mirdidingkingathi Juwarnda Sally",Sally Gabori,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
36,"Gascoigne, Rosalie",Rosalie Norah King Gascoigne,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
37,"Gascoigne, Rosalie",Rosalie Walker,Surname Change,Name Change,AWR Alternative Name,Born Rosalie Norah King Walker.
38,"Goodsir, Agnes",Agnes Noyes Goodsir,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
39,"Hanrahan, Barbara",Barbara Janice Hanrahan,Extended/Shortened Name,Alternative Rendering,AWR Primary Name,
40,"Hanssen Pigott, Gwyn",Gwyn Hanssen,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
41,"Hessing, Mona",Mona Johnston,Surname Change,Name Change,DAAO Alternative Name,"Born Mona Johnston, married Leonard Hessing."
42,"Hester, Joy",Joy St Clair Hester,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
43,"Heysen, Nora",Nora Black,Surname Change,Name Change,AWR Alternative Name,"Born Nora Heysen, married Robert Black."
44,"Hinder, Margel",Margel Ina Hinder,Surname Change,Alternative Rendering,DAAO Primary Name,
45,"Hinder, Margel",Margel Ina Harris,Surname Change,Name Change,DAAO Alternative Name,"Born Magel Ina Harris, married Frank Hinder."
46,"Jackson, Linda",Opalinda,Other,Pseudonym,DAAO Alternative Name,"Born Linda Jackson, adopted Opalinda as artist name."
47,"Kngwarray, Rosie",Rosie Kngwarray Kunoth,Extended/Shortened Name,Indigenous Name,DAAO Alternative Name,
48,"Lahey, Vida",Frances Vida Lahey,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
49,"Larter, Pat",Holmes,Other,Name Change,DAAO Alternative Name,"Born Patricia Florence Holmes, married Richard Larter."
50,"Laurence, Janet",Janet Lawrence,Typographical Variation,Alternative Rendering,DAAO Alternative Name,
51,"Lewers, Margo",Henrietta Margaret Ernestine Lewers,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
52,"Lewers, Margo",Margo Plate,Surname Change,Name Change,DAAO Alternative Name,
53,"MacKay, Jan",Jan Mackay,Typographical Variation,Alternative Rendering,DAAO Primary Name,
54,"MacKay, Jan",Jan McKay,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
55,"Madigan, Rosemary",Rosemary Wynnis Madigan,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
56,"Madigan, Rosemary",Rosemary Wynnis Giles,Surname Change,Name Change,DAAO Alternative Name,
57,"Mahoney Griffin, Marion",Marion Griffin,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
58,"Mahoney Griffin, Marion",Marion Lucy Mahoney Griffin,Extended/Shortened Name,Alternative Rendering,"AWR Primary Name, DAAO Alternative Name",
59,"Mahoney Griffin, Marion",Marion Lucy Mahony,Surname Change,Name Change,DAAO Alternative Name,
60,"Mahood, Margeurite",Marguerite Henriette Mahood,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
61,"Mahood, Margeurite",Margot Mahood,Other,Alternative Rendering,DAAO Alternative Name,
62,"Mahood, Margeurite",Marguerite Henriette Callaway,Surname Change,Name Change,DAAO Alternative Name,
63,"Marawili, Nongirrna",Nonggirrnga Marawili,Typographical Variation,Alternative Rendering,DAAO Alternative Name,
64,"Marika, Dr B.",Marmburra Wananumba Banduk Marika,Other,Indigenous Name,AWR Primary Name,
65,"McGilchrist, Erica",Erica Margaret McGilchrist,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
66,"Mora, Mirka",Mirka Madeleine Mora,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
67,"Mora, Mirka",Mirka Madeleine Zelik,Surname Change,Name Change,DAAO Alternative Name,
68,"Newmarch, Ann",Ann Foster Newmarch,Extended/Shortened Name,Alternative Rendering,DAAO Primary Name,
69,"O’Connor, Kathleen",Kathleen Laeticia O’Connor,Extended/Shortened Name,Alternative Rendering,"AWR Primary Name, DAAO Alternative Name",
70,"Olley, Margaret",Margaret Hannah Olley,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
71,"Pachucka, Ewa",Ewa Pachuka,Typographical Variation,Alternative Rendering,DAAO Alternative Name,
72,"Pachucka, Ewa",Ewa Pachuchka,Typographical Variation,Alternative Rendering,DAAO Alternative Name,
73,"Perry, Adelaide",Adelaide Elizabeth Perry,Extended/Shortened Name,Alternative Rendering,DAAO Alternative Name,
74,"Preston, Margaret",Margaret Rose Preston,Extended/Shortened Name,Alternative Rendering,"AWR Alternative Name, DAAO Alternative Name",
75,"Preston, Margaret",Rose McPherson,Other,Name Change,DAAO Alternative Name,"Born Margaret Rose McPherson, married William George Preston."
76,"Preston, Margaret",Margaret Rose Macpherson,Surname Change,Name Change,DAAO Alternative Name,"Born Margaret Rose McPherson, married William George Preston."
77,"Preston, Margaret",Margaret Macpherson,Surname Change,Name Change,DAAO Alternative Name,"Born Margaret Rose McPherson, married William George Preston."
78,"Preston, Margaret",Margaret Rose McPherson,Surname Change,Name Change,"AWR Alternative Name, DAAO Alternative Name","Born Margaret Rose McPherson, married William George Preston."
