oid,gender,role_count,birth_year,decade
4da19d1eb538b73d930141a7,"""male""",5.0,1906,1900s
4da194f7b538b73d930006fa,"""male""",1.0,1947,1940s
4da194fcb538b73d9300097d,"""female""",4.0,1908,1900s
4da1b2fab538b73d9301e9fd,"""male""",5.0,1967,1960s
4da194feb538b73d93000ad6,"""female""",4.0,1900,1900s
4da1b86fb538b73d930213f8,"""male""",3.0,1981,1980s
4da19512b538b73d93001531,"""male""",5.0,1970,1970s
4da1a387b538b73d93018caa,"""male""",6.0,1903,1900s
4da19515b538b73d9300176a,"""male""",3.0,1955,1950s
4da1dfb7b538b73d930298ed,"""male""",2.0,1951,1950s
4fa89dedd707ff44f400000f,"""male""",3.0,1948,1940s
4da1b6cbb538b73d9302041b,"""male""",7.0,1946,1940s
4e1f924e72edc24d9100001a,"""male""",2.0,1935,1930s
4da19520b538b73d93001df4,"""male""",3.0,1942,1940s
4e5206f6d707ff1dc7002ff3,"""male""",2.0,1910,1910s
4da19522b538b73d93001f13,"""female""",1.0,1930,1930s
4da1952bb538b73d93002329,"""female""",2.0,1965,1960s
4da1952fb538b73d93002438,"""male""",3.0,1939,1930s
4e521665d707ff1dc7009c44,"""male""",8.0,1933,1930s
4ed4699dd707ff4ff0000000,"""male""",1.0,1933,1930s
4fd72698d707ff201b000006,"""male""",5.0,1948,1940s
4da19531b538b73d930025ac,"""female""",6.0,1958,1950s
4e520745d707ff1dc70032ff,"""male""",6.0,1972,1970s
4da1af85b538b73d9301d57e,"""female""",7.0,1972,1970s
4da1d2a5b538b73d93027ee4,"""male""",3.0,1916,1910s
5fb90f3fd707ff261100009b,"""female""",3.0,1925,1920s
4da19547b538b73d93002e7e,"""female""",3.0,1916,1910s
4da1954ab538b73d93002f4e,"""male""",3.0,1912,1910s
4da1e1fab538b73d93029c9e,"""female""",7.0,1972,1970s
4da1954fb538b73d93003168,"""male""",2.0,1920,1920s
4da1bd48b538b73d93023f39,"""male""",5.0,1953,1950s
4da19552b538b73d93003253,"""female""",2.0,1909,1900s
4da1b618b538b73d9301ff54,"""male""",6.0,1955,1950s
4da1baddb538b73d93022767,"""female""",1.0,1965,1960s
4da1955eb538b73d930037b5,"""female""",1.0,1970,1970s
4e3e4ecad707ff7c08000067,"""female""",1.0,1950,1950s
4da1c371b538b73d9302549b,"""female""",5.0,1940,1940s
4edeaf70d707ff78300002ee,"""female""",1.0,1941,1940s
4da1be66b538b73d93024462,"""male""",3.0,1945,1940s
4e54765bd707ff2c1400000c,"""female""",2.0,1954,1950s
4da19567b538b73d93003acb,"""male""",5.0,1928,1920s
4ed4706ed707ff4fef000002,"""male""",4.0,1940,1940s
4da19575b538b73d93003f49,"""female""",2.0,1932,1930s
4da199f0b538b73d9300fc66,"""female""",5.0,1954,1950s
4da19577b538b73d93003fb4,"""female""",4.0,1936,1930s
4e52067fd707ff1dc7002ba8,"""male""",1.0,1946,1940s
4da1957bb538b73d93004118,"""male""",1.0,1957,1950s
4da19581b538b73d930043eb,"""male""",3.0,1919,1910s
4da1957eb538b73d930042a8,"""male""",4.0,1920,1920s
4e1f925272edc24d9100005f,"""male""",2.0,1923,1920s
4da1b509b538b73d9301f185,"""male""",4.0,1942,1940s
4da19583b538b73d93004476,"""male""",3.0,1920,1920s
5caad587ede6100656000107,"""female""",5.0,1991,1990s
4da19595b538b73d93004b57,"""female""",3.0,1911,1910s
4da1be6fb538b73d930245af,"""female""",3.0,1963,1960s
4da197fbb538b73d9300c6f4,"""male""",1.0,1901,1900s
4da1959ab538b73d93004cb5,"""male""",4.0,1938,1930s
4da19599b538b73d93004c4f,"""male""",2.0,1946,1940s
5d5e345bede610348c00071e,"""female""",2.0,1934,1930s
4da195b6b538b73d930055ea,"""male""",2.0,1940,1940s
5d5e3c9aede610348c000724,"""female""",2.0,1987,1980s
4e55ec40d707ff466a000003,"""male""",2.0,1952,1950s
4da195d5b538b73d93005edc,"""male""",3.0,1902,1900s
4da1b867b538b73d930211f9,"""male""",2.0,1902,1900s
4da195cdb538b73d93005ca1,"""female""",1.0,1961,1960s
4da195dcb538b73d930060a3,"""female""",3.0,1952,1950s
515824b9d707ff422f00100e,"""female""",3.0,1900,1900s
4da1c313b538b73d93025342,"""female""",10.0,1956,1950s
4e520b7fd707ff1dc70059a5,"""male""",1.0,1926,1920s
