Artist Name and Link to Know My Name Exhibition Page,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,In DAAO Selected Biographical Dataset,Link to AWR,Link to NLA,Multiple NLA,Missing NLA,,,
"(Budden) Phoenix, Frances",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1950,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2017,1/7/2017,https://www.daao.org.au/bio/frances-budden/,Y,,https://trove.nla.gov.au/people/1483304,N,N,,,
"Alder, Alison",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1958,12/2/1958,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/alison-alder/biography/,Y,,https://trove.nla.gov.au/people/477589,N,N,,,
"Allan, Micky",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1944,1/4/1944,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/micky-allan/,N,,https://trove.nla.gov.au/people/1257268,N,N,,,
"Apuatimi, Jean Baptiste (Pulukatu)",Individual,,Malawu,Bathurst Island,NT,Australia,-11.57730195,130.4177397,1940,24/6/1940,Wurrumiyanga,Wurrumiyanga,NT,Australia,-11.7625858,130.6321091,2013,18/2/2013,https://www.daao.org.au/bio/jean-baptiste-apuatimi/,Y,,https://trove.nla.gov.au/people/1517433,N,N,,,
"Audette, Yvonne",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1930,22/4/1930,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/yvonne-audette/,N,,https://trove.nla.gov.au/people/1487096,N,N,,,
"Baas-Backing, Solvig",Individual,,N/A,Balikpapan,Borneo,Indonesia,-1.2379,116.8529,1928,,,,,,,,2011,,,[Not in DAAO],,[Not in NLA],N,Y,,,
"Baker, Nyukana",Individual,,Pukatja,Ernabella,SA,Australia,-26.25416,132.19145,1943,Nov-43,Mparntwe,Alice Springs,NT,Australia,-23.6983884,133.8812885,2016,,https://www.daao.org.au/bio/nyukana-baker/,Y,,https://trove.nla.gov.au/people/1485487,N,N,,,
"Bale, Alice Marian Ellen",Individual,,Quo-yung,Richmond,VIC,Australia,-37.8203955,145.0025153,1875,11/11/1875,,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,14/2/1955,https://www.daao.org.au/bio/alice-marion-ellen-bale/,N,,https://trove.nla.gov.au/people/554736,N,N,,,
"Beckett, Clarice",Individual,,Gunditj Mirring Land,Casterton,VIC,Australia,-37.585285,141.4037762,1887,21/3/1887,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1935,7/7/1935,https://www.daao.org.au/bio/clarice-beckett/,[Born pre-1900] Y,,"https://trove.nla.gov.au/people/1465171
https://trove.nla.gov.au/people/494083",Y,N,,,
"Bell, Eugenie Keefer",Individual,,,,,USA,39.7837304,-100.445882,1951,2/5/1951,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/eugenie-keefer-bell/biography/,Y,,https://trove.nla.gov.au/people/784208,N,N,,,
"Bellette, Jean",Individual,,Nipaluna,Hobart,TAS,Australia,-42.882393,147.3258481,1908,25/3/1908,N/A,Palma,Majorca,Spain,39.5695818,2.6500745,1991,16/3/1991,https://www.daao.org.au/bio/bellette-jean/,Y,,https://trove.nla.gov.au/people/603302,N,N,,,
"Benglis, Lynda",Individual,,Atakapa Ishak Land,Lake Charles,LA,USA,30.2305095,-93.2169807,1941,25/10/1941,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),[Not in DAAO],[Not in DAAO],,https://trove.nla.gov.au/people/838971,N,N,,,
"Beynon, Kate",Individual,,N/A,Hong Kong,,Hong Kong,22.381131,114.135572,1970,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/kate-beynon/,Y,,https://trove.nla.gov.au/people/1483130,N,N,,,
"Binns, Vivienne",Individual,,Darkinjung Land,Wyong,NSW,Australia,-33.2825132,151.4256691,1940,6/11/1940,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/vivienne-binns/,Y,,https://trove.nla.gov.au/people/626196,N,N,,,
"Black, Dorrit",Individual,,Tarntanya,Burnside,SA,Australia,-34.944479,138.6472958,1891,23/12/1891,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,1951,13/9/1951,https://www.daao.org.au/bio/dorrit-black/,N,https://www.womenaustralia.info/biogs/AWE3669b.htm,"https://trove.nla.gov.au/people/783824 
https://trove.nla.gov.au/people/639312",Y,N,,,
"Blumann, Elise",Individual,,N/A,Parchim,,Germany,53.4258455,11.8475244,1897,16/01/1897,Wadjakboodjar,Nedlands,WA,Australia,-31.9799209,115.8057167,1990,29/1/1990,https://www.daao.org.au/bio/elise-margo-blumann/,N,https://www.womenaustralia.info/biogs/PR00702b.htm,"https://trove.nla.gov.au/people/1463745
https://trove.nla.gov.au/people/1527325",Y,N,,,
Boomalli Aboriginal Artists' Co-operative,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.2101348,1987,25/11/1987,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/boomalli-aboriginal-artist-cooperative-1/,N,,"https://trove.nla.gov.au/people/1774713
https://trove.nla.gov.au/people/597930
https://trove.nla.gov.au/people/1528483",Y,N,,,
