FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Harold Abbott,Hal D. Abbott,https://www.austlit.edu.au/austlit/page/A48352,Dal Stivens,https://www.austlit.edu.au/austlit/page/A22934,Abbott,TRUE,Hal D. Abbott,https://www.austlit.edu.au/austlit/page/A48352,Exact match,Abbott,Stivens
Ian Abdulla,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Abdulla,TRUE,Ian Abdulla,https://www.austlit.edu.au/austlit/page/A48552,Exact match,Abdulla,Abdulla
Thelma Afford,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Afford,TRUE,Thelma Afford,https://www.austlit.edu.au/austlit/page/A65108,Exact match,Afford,Afford
Vernon Ah Kee,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Ah Kee,TRUE,Vernon Ah Kee,https://www.austlit.edu.au/austlit/page/11339149,Exact match,Kee,Kee
Ruth Drummond Ainsworth,No Result Found,,No Result Found,,Ainsworth,TRUE,No Result Found,,No match,Found,Found
Tony Albert,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Albert,TRUE,Tony Albert,https://www.austlit.edu.au/austlit/page/11501066,Exact match,Albert,Albert
Brook Andrew,agent,https://www.austlit.edu.au/austlit/page/8538325,agent,https://www.austlit.edu.au/austlit/page/8538325,Andrew,TRUE,agent,https://www.austlit.edu.au/austlit/page/8538325,"No match, but related record",agent,agent
John Andrews,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,Andrews,TRUE,John Andrew La Nauze,https://www.austlit.edu.au/austlit/page/A6787,"No match, but related record",Nauze,Nauze
Douglas Annand,Geoffrey Lehmann,https://www.austlit.edu.au/austlit/page/A1555,Douglas Annand,https://www.austlit.edu.au/austlit/page/A104770,Annand,TRUE,Douglas Annand,https://www.austlit.edu.au/austlit/page/A104770,Exact match,Lehmann,Annand
Michael Anning,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Anning,TRUE,Michael (Boiyool) Anning,https://www.austlit.edu.au/austlit/page/A67138,Exact match,Anning,Anning
Jean Appleton,Reg Johnston,https://www.austlit.edu.au/austlit/page/14790572,No Result Found,,Appleton,TRUE,,,"No match, but related record",Johnston,Found
Howard Arkley,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Arkley,TRUE,Howard Arkley,https://www.austlit.edu.au/austlit/page/A75900,Exact match,Arkley,Arkley
John Armstrong,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,Armstrong,TRUE,John Armstrong,https://www.austlit.edu.au/austlit/page/A126923,Exact match,Armstrong,Armstrong
Tom Arthur,R. H. Croll,https://www.austlit.edu.au/austlit/page/A15951,T. A. G. Hungerford,https://www.austlit.edu.au/austlit/page/A28123,Arthur,TRUE,,,"No match, but related record",Croll,Hungerford
