0,1,2,3,Year
/prizes/archibald/1921/21270/,Mary Cecil Allen,(Lady Chauvel),,1921
/prizes/archibald/1921/21269/,Mary Cecil Allen,Portrait,,1921
/prizes/archibald/1921/21272/,Herbert Beecroft,Miniature (Title unknown),,1921
/prizes/archibald/1921/21274/,George Bell,Portrait,,1921
/prizes/archibald/1921/21255/,Norman Carter,Elioth Gruner,,1921
/prizes/archibald/1921/21260/,Norman Carter,Self-portrait,,1921
/prizes/archibald/1921/27822/,Norman Carter,(G Sydney Jones),,1921
/prizes/archibald/1921/21254/,Norman Carter,Hon WA Holman,,1921
/prizes/archibald/1921/27823/,Bessie Cooper,Miniature (Title unknown),,1921
/prizes/archibald/1921/27825/,Bessie Cooper,Miniature (Title unknown),,1921
/prizes/archibald/1921/27824/,Bessie Cooper,Miniature (Title unknown),,1921
/prizes/archibald/1921/21268/,Aileen R Dent,Portrait,,1921
/prizes/archibald/1921/27827/,Bernice Edwell,Miniature (Title unknown),,1921
/prizes/archibald/1921/27826/,Bernice Edwell,(Alexander Leeper),,1921
/prizes/archibald/1921/27828/,Bernice Edwell,Miniature (Title unknown),,1921
/prizes/archibald/1921/21263/,Mary Edwell-Burke,(William Macleod),,1921
/prizes/archibald/1921/21264/,Lindsay Bernard Hall,Portrait (Mrs Bernard Hall),,1921
/prizes/archibald/1921/21273/,Clewin Harcourt,Portrait,,1921
/prizes/archibald/1921/21258/,G F Harris,(William Thompson),,1921
/prizes/archibald/1921/21276/,Harry Bromilow Harrison,WP Hurst,,1921
/prizes/archibald/1921/21271/,Polly Hurry,Portrait,,1921
/prizes/archibald/1921/21265/,Frank Latimer,Portrait,,1921
/prizes/archibald/1921/21267/,Stanley Lloyd,Portrait,,1921
/prizes/archibald/1921/21275/,R J McFadden,Rt Hon A Fisher,,1921
/prizes/archibald/1921/17367/,W B McInnes,Desbrowe Annear,Winner: Archibald Prize 1921,1921
/prizes/archibald/1921/21277/,W B McInnes,Mother and son,,1921
/prizes/archibald/1921/27829/,W B McInnes,(Self-portrait),,1921
/prizes/archibald/1921/21259/,William Macleod,Portrait,,1921
/prizes/archibald/1921/21278/,Max Meldrum,Self-portrait,,1921
/prizes/archibald/1921/21262/,Benjamin Edward Minns,Portrait,,1921
/prizes/archibald/1921/27830/,Florence Aline Rodway,(Julian Ashton),,1921
/prizes/archibald/1921/21253/,Florence Aline Rodway,Sir Wm Cullen,,1921
/prizes/archibald/1921/21252/,Florence Aline Rodway,JF Archibald,,1921
/prizes/archibald/1921/27818/,Unknown artist,Lloyd George,,1921
/prizes/archibald/1921/27821/,Unknown artist,(Title unknown),,1921
/prizes/archibald/1921/27832/,Unknown artist,(Charles McCarthy),,1921
/prizes/archibald/1921/27831/,Mary Walker,Miniature (William Macleod),,1921
/prizes/archibald/1921/21261/,J S Watkins,Portrait (William Henry Warren),,1921
/prizes/archibald/1921/21256/,Joseph Wolinski,Portrait of my father,,1921
/prizes/archibald/1921/21266/,Joseph Wolinski,Portrait of Rabbi Cohen,,1921
/prizes/archibald/1921/21257/,A Marriott Woodhouse,Portrait of my mother,,1921
/prizes/archibald/1922/14567/,James Muir Auld,Portrait Mr Roderick Quinn,,1922
/prizes/archibald/1922/14654/,A M E Bale,Portrait Miss Jo Sweatman,,1922
,Lawson Balfour,Portrait of Mr Thomas Buckland,,1922
,Herbert Beecroft,Mrs Beecroft,,1922
,Herbert Beecroft,Portrait Lady McMillen,,1922
/prizes/archibald/1922/14736/,Herbert Beecroft,Portrait of Mr QL Deloitte,,1922
,Frederick Francis Burmeister,Portrait of Mr Mitchell,,1922
,Norman Carter,Portrait of Mr Hugh McCrae,,1922
/prizes/archibald/1922/15146/,Norman Carter,Portrait of Mr Peter Board,,1922
/prizes/archibald/1922/15145/,Norman Carter,Fernande,,1922
,Bessie Cooper,Subject unknown,,1922
,Augustus Cornehls,Self-portrait,,1922
,Aileen R Dent,Mr Bernard Cronin,,1922
,Bernice Edwell,Sir Frank Moulden,,1922
,Mary Edwell-Burke,Mr JHM Abbott,,1922
,Mary Edwell-Burke,Miss Nessie Tindall,,1922
,Charles Goode,Portrait Mr Trouchet,,1922
,May Grigg,Mr James Ashton,,1922
,May Grigg,Mr Thomas Grigg,,1922
/prizes/archibald/1922/16239/,Lindsay Bernard Hall,Lady with sponge,,1922
,Lindsay Bernard Hall,"Sir Robert Garran, KCMG",,1922
,G F Harris,Portrait,,1922
,G F Harris,Sir George Fuller,,1922
,Grace Hoy,Portrait of Mr Arthur Crocker,,1922
,James R Jackson,Portrait of Mr Cecil Hartt,,1922
,James R Jackson,Portrait of Hector Lamond,,1922
,A Elizabeth Kelly,Portrait of Mrs Hunter,,1922
,A Elizabeth Kelly,Portrait of Mrs Ernest Boulton,,1922
/prizes/archibald/1922/16961/,George W Lambert,Self-portrait,,1922
/prizes/archibald/1922/16960/,George W Lambert,General Chauvel,,1922
,Percy Leason,Portrait Mr John B Dalley,,1922
,John Longstaff,Portrait of Mr Edward W Knox,,1922
,W B McInnes,Dr Hamilton,,1922
,W B McInnes,Jean,,1922
,W B McInnes,Professor Sir Thomas Lyle,,1922
/prizes/archibald/1922/17371/,W B McInnes,Portrait of Mr S Ure Smith,,1922
/prizes/archibald/1922/17373/,W B McInnes,Professor Harrison Moore,(Winner: Archibald Prize 1922),1922
,W B McInnes,Boy Barrett,,1922
,William Macleod,Portrait of Miss Ruby Adams,,1922
/prizes/archibald/1922/17198/,William Macleod,Portrait of Mr Livingston Hopkins,,1922
,Wolla Meranda,The bookfellow,,1922
,Alfred William Pratt,Self-portrait,,1922
,William Albert Frederick Seppelt,Sir Douglas Mawson,,1922
,Jo Sweatman,Portrait Miss AME Bale,,1922
,Frederick Lyttelton Tregear,Self-portrait,,1922
,J S Watkins,Self-portrait,,1922
,J S Watkins,Portrait Mr CA Jeffries,,1922
,Joseph Wolinski,Mr James Nangle,,1922
,Joseph Wolinski,"Hon Daniel Levy, MLA",,1922
,Joseph Wolinski,"Lt Col Purdy, DSO; MD",,1922
,Joseph Wolinski,Mr AH Fullwood,,1922
,Joseph Wolinski,Self-portrait,,1922
,A Marriott Woodhouse,An Australian artist,,1922
,Lizzie McDougall Armstrong,L Brook Armstrong,,1923
,James Muir Auld,Self-portrait,,1923
,James Muir Auld,Frank Hutchens,,1923
,A M E Bale,Miss E Downing,,1923
,A M E Bale,James Anderson,,1923
,Lawson Balfour,Mrs Robson,,1923
,Lawson Balfour,Wm Lister Lister,,1923
,Lawson Balfour,"A Wallace Wichen, MD",,1923
,Herbert Beecroft,Thelma Harris,,1923
,George Bell,Daryl Lindsay,,1923
,Arthur Harold Brown-Beresford,Major General Sir Charles Rosenthal,,1923
,Norman Carter,Leon Gellert,,1923
