date_range.date_start.year,date_range.date_start.month,date_range.date_start.day,date_range.date_end.year,date_range.date_end.month,date_range.date_end.day,place.address.ori_address,place.address.country,place.address.state,place.address.city,place.address.postcode,place.ori_dbid.$oid,place.label,place._class_ori,place._class,place.geo_coord.latitude,place.geo_coord.longitude,artist,artist_ori_dbid,place.address.suburb,ori_dbid,no_of_events,new_venue_name_x,new_venue_name_y,total_no_of_events,venue_name,venue_category_minor,venue_category_major,State
1991,12,4,1991,12,21,"Garry Anderson Gallery, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1bcfeb538b73d93023920,,place,place,-33.8689009,151.2070914,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",,,,,,,,,,
1995,8,4,1995,8,5,"Mary Place Gallery, Paddington, New South Wales",Australia,New South Wales,Sydney,2021,4da1b640b538b73d93020041,,place,place,-33.8846107,151.2265861,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",Paddington,4da1b640b538b73d93020041,8.0,"Mary Place Gallery, Paddington, NSW","Mary Place Gallery, Paddington, NSW",25.0,"Mary Place Gallery, Paddington, NSW",Commercial,Commercial,NSW
2009,8,29,2009,11,22,"Ian Potter Museum of Art, University of Melbourne, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1999bb538b73d9300f679,,place,place,-37.7999695,144.9573385,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",,4da1999bb538b73d9300f679,69.0,"Ian Potter Museum of Art, University of Melbourne, Melbourne, Vic.","Ian Potter Museum of Art, University of Melbourne, Melbourne, Vic.",89.0,"Ian Potter Museum of Art, University of Melbourne, Melbourne, Vic.",University Gallery,University Gallery,VIC
1995,3,1,1995,4,1,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1995,1,27,1995,4,30,"Lewers Bequest and Penrith Regional Art Gallery, Emu Plains, New South Wales",Australia,New South Wales,Penrith,2750,4da1975cb538b73d9300abca,,place,place,-33.7534693,150.6590987,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",Emu Plains,,,,,,,,,
2000,1,1,2000,1,1,"Heide Museum of Modern Art, Melbourne, Victoria",Australia,Victoria,Melbourne,3105,4da19591b538b73d9300496c,,place,place,-37.7589,145.084301,"""Yvonne Audette""","{""$oid"": ""4da19522b538b73d93001f13""}",,4da19591b538b73d9300496c,82.0,"Heide Museum of Modern Art, Melbourne, VIC","Heide Museum of Modern Art, Melbourne, VIC",93.0,"Heide Museum of Modern Art, Melbourne, VIC",Public Independent,Government / Public Museum ,VIC
1989,7,10,1989,7,10,"Friends of the Earth Gallery, Melbourne Victoria",Australia,Victoria,Melbourne,3000,4da19520b538b73d93001e0e,,place,place,-37.8131869,144.9629796,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1983,9,10,1983,9,10,"Museum of Ethnology, Osaka, Japan",Japan,Ōsaka Prefecture,Osaka,530-8201,4da1952eb538b73d930023bf,,place,place,34.6937378,135.5021651,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1976,9,10,1976,9,10,"Grace Bros, Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c6,,place,place,-33.796076,151.1831019,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",Chatswood,,,,,,,,,
1989,6,10,1989,6,10,"Barunga Festival, Barunga, Northern Territory",Australia,Northern Territory,,Unknown,4da1952db538b73d930023a1,,place,place,-14.5223895,132.864982,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1977,9,10,1977,9,10,"Grace Bros, Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c6,,place,place,-33.796076,151.1831019,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",Chatswood,,,,,,,,,
1990,9,10,1990,9,10,"Edinburgh Festival, Edinburgh, Scotland",United Kingdom,Scotland,Edinburgh,EH1 1LL,4da1952db538b73d9300239f,,place,place,55.9501755,-3.1875359,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,11,10,1989,11,10,"Araluen Arts Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0871,4da19520b538b73d93001dfa,,place,place,-23.702999,133.862802,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1984,6,10,1984,6,10,"Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1950eb538b73d9300128f,,place,place,-35.3080556,149.1244444,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1983,10,10,1983,10,10,"Albury/Wodonga, Victoria",Australia,Victoria,Wodonga,2640,4da1952eb538b73d930023bd,,place,place,-36.086332,146.9093358,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1988,8,10,1988,8,10,Northern Territory,Australia,Northern Territory,,Unknown,4da1952db538b73d930023b2,Northern Territory,place,place,,,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,1,1,1989,1,1,"Lauraine Diggins Fine Art, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1952db538b73d930023a7,,place,place,-37.8131869,144.9629796,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,9,10,1989,9,10,"Shades of Ochre Gallery, Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da1952db538b73d930023ab,,place,place,-12.4628198,130.8417694,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1988,11,10,1988,11,10,"Boomalli, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952db538b73d930023b0,,place,place,-33.8689009,151.2070914,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,5,10,1989,5,10,"Plaza Dreamtime Gallery, Alice Springs, New South Wales",Australia,New South Wales,Alice Springs,Unknown,4da1952db538b73d930023ae,,place,place,,,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1972,1,1,1972,1,1,"Age Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1952eb538b73d930023cd,,place,place,-37.8131869,144.9629796,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1974,1,1,1974,1,1,"St John's, Wahroonga, New South Wales",Australia,New South Wales,Sydney,Unknown,4da1952eb538b73d930023c9,,place,place,,,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",Wahroonga,,,,,,,,,
2020,11,14,2021,7,4,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1986,7,10,1986,7,10,United Kingdom,United Kingdom,Scotland,,DG10 9DX,4da1952db538b73d930023ba,,place,place,55.378051,-3.435973,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,1,1,1989,1,1,"Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da194f4b538b73d930005f4,,place,place,-33.8689009,151.2070914,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1982,1,1,1982,1,1,"Darwin, Northern Territory",Australia,Northern Territory,Darwin,0800,4da1952eb538b73d930023c3,,place,place,-12.4628198,130.8417694,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1983,10,10,1983,10,10,"Wagga Wagga, New South Wales",Australia,New South Wales,Wagga Wagga,2650,4da1952db538b73d93002399,,place,place,-35.1155492,147.3694772,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1987,11,10,1987,11,10,"Gap Neighbourhood Centre, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da1952db538b73d930023b8,,place,place,-23.7002104,133.8806114,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1982,1,1,1982,1,1,"Grace Bros Chatswood, Sydney, New South Wales",Australia,New South Wales,Sydney,2067,4da1952eb538b73d930023c1,,place,place,-33.796076,151.1831019,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1983,10,10,1983,10,10,"Orange, New South Wales",Australia,New South Wales,Orange,2800,4da1952db538b73d93002397,,place,place,-33.2833333,149.1,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1981,1,1,1981,1,1,,,,,,,,,,,,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1988,5,11,1988,6,12,"Crafts Council of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1bd04b538b73d9302396a,,place,place,-33.8689009,151.2070914,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1973,1,1,1973,1,1,"Civic Gallery, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da1952eb538b73d930023cb,,place,place,-35.3080556,149.1244444,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1971,1,1,1971,1,1,"Argyle Arts Centre, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952eb538b73d930023cf,,place,place,-33.8689009,151.2070914,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1990,9,10,1990,9,10,"Plaza Dreamtime Gallery, Alice Springs, Northern Territory",Australia,Northern Territory,Alice Springs,0870,4da1952db538b73d9300239d,,place,place,-23.7002104,133.8806114,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1989,10,10,1989,10,10,"Bloomfield's Gallery, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1952db538b73d930023a9,,place,place,-33.8689009,151.2070914,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1990,5,10,1990,5,10,"Santa Fe, New Mexico, United States",United States,New Mexico,Santa Fe,87501,4da1952db538b73d930023a3,,place,place,35.6869752,-105.937799,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1990,11,10,1990,11,10,"Tandanya, Adelaide, South Australia (Tandanya Aboriginal Cultural Institute)",Australia,South Australia,Adelaide,Unknown,4da1952db538b73d9300239b,,place,place,,,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1988,4,10,1988,4,10,"Texas International Festival, Texas, United States",United States,Texas,Houston,77063,4da1952db538b73d930023b6,,place,place,29.731775,-95.512282,"""Nyukana Baker""","{""$oid"": ""4da1952eb538b73d930023d5""}",,,,,,,,,,
1943,1,1,1948,1,1,"Brisbane, Queensland",Australia,Queensland,Brisbane,4004,4da194f8b538b73d93000758,,place,place,-27.4709331,153.0235024,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
2011,10,20,2012,12,15,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, Western Australia",Australia,Western Australia,Perth,6009,4da1a7fcb538b73d9301a5ec,,place,place,-31.9796122,115.8185563,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,4da1a7fcb538b73d9301a5ec,41.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA","Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",51.0,"Lawrence Wilson Art Gallery, University of Western Australia, Perth, WA",University Gallery,University Gallery,WA
1923,10,6,1923,11,3,"Burlington House, Piccadilly, London, England, United Kingdom",United Kingdom,England,London,SW1P 3JX,4da1950db538b73d9300117c,,place,place,51.5001524,-0.1262362,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1939,1,1,1939,1,1,"Paris, France",France,Île-de-France,Paris,75004,4da19504b538b73d93000e41,,place,place,48.8566667,2.3509871,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1995,3,10,1995,5,28,"Benalla Art Gallery, Benalla, Victoria",Australia,Victoria,,3672,4da1997eb538b73d9300f501,,place,place,-36.5514956,145.9817019,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1923,1,1,1923,1,1,"Athenaeum Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da19530b538b73d93002490,,place,place,-37.8131869,144.9629796,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
2020,11,14,2021,7,4,"National Gallery of Australia, Canberra, Australian Capital Territory",Australia,Australian Capital Territory,Canberra,2600,4da19511b538b73d9300150b,,place,place,-35.30053,149.136282,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,4da19511b538b73d9300150b,127.0,"National Gallery of Australia, Canberra, ACT","National Gallery of Australia, Canberra, ACT",148.0,"National Gallery of Australia, Canberra, ACT",National Institution,Government / Public Museum ,ACT
1870,1,1,,,,"Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da194f5b538b73d930005fd,,place,place,-37.8131869,144.9629796,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1975,9,2,1975,9,27,"Melbourne University, Ewing and George Paton Gallery, Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da1b023b538b73d9301dcba,,place,place,-37.8131869,144.9629796,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1995,2,16,1995,3,13,"PICA (Perth Institute of Contemporary Arts), Western Australia",Australia,Western Australia,Perth,Unknown,4da1c919b538b73d9302676a,,place,place,47.7510741,-120.7401386,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1995,3,8,1995,6,8,"Art Gallery of New South Wales, Sydney, New South Wales",Australia,New South Wales,Sydney,2000,4da1950db538b73d930011bc,,place,place,-33.8686268,151.2170618,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,4da1950db538b73d930011bc,509.0,"Art Gallery of New South Wales, Sydney, NSW","Art Gallery of New South Wales, Sydney, NSW",585.0,"Art Gallery of New South Wales, Sydney, NSW",State Gallery / Library,Government / Public Museum ,NSW
1930,4,10,1930,4,10,"Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da194f5b538b73d930005fd,,place,place,-37.8131869,144.9629796,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
,,,,,,"Melbourne, Victoria",Australia,Victoria,Melbourne,3000,4da194f5b538b73d930005fd,,place,place,-37.8131869,144.9629796,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1953,12,12,1953,12,20,,Australia,Victoria,Melbourne,3002,504e7ce5d707ff4a8600000a,"Treasury Gardens, Melbourne",place,place,-37.8140037,144.9762565,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",,,,,,,,,,
1995,3,8,,,,"Artarmon, New South Wales",Australia,New South Wales,Sydney,2064,5420dd18d707ff1912000036,Angeloro Fine Art Galleries,place,place,-33.808859,151.1847951,"""Alice Marion Ellen Bale""","{""$oid"": ""4da19530b538b73d9300249f""}",Artarmon,,,,,,,,,
