types,ori_url,description,_class,is_deleted,dates,is_locked,_class_ori,ori_dbid,coverages,label,curr_dbid,display_name,birth,year
['award'],https://www.daao.org.au/bio/recognition/prize-of-3-for-a-still-life-subject,1889 Melbourne National Gallery Schools,recognition,False,[],False,recognition,{'$oid': '4da19530b538b73d93002494'},[{}],prize of £3 for a still-life subject,{'$oid': '645811d4d72f0e29f614065f'},"""Alice Marion Ellen Bale""","{""coverage"": {""date"": {""year"": ""1875"", ""month"": ""11"", ""day"": ""11""}, ""place"": {""address"": {""ori_address"": ""Richmond, Melbourne, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Melbourne"", ""suburb"": ""Richmond"", ""postcode"": ""3121""}, ""ori_dbid"": {""$oid"": ""4da1950cb538b73d93001125""}, ""ori_address"": ""Richmond, Melbourne, Vic."", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -37.818635, ""longitude"": 145.0014704}}}}",
['award'],https://www.daao.org.au/bio/recognition/1985-visual-arts-board-australia-council-kiffi-rubbo-memorial-art-award-grant,,recognition,False,"[{'year': '1985', 'month': '1', 'day': '1'}]",False,recognition,{'$oid': '4da19592b538b73d930049ce'},"[{'date': {'year': '1985', 'month': '1', 'day': '1'}}]","1985 Visual Arts Board, Australia Council - Kiffi Rubbo Memorial Art Award Grant",{'$oid': '645811eed72f0e29f6141621'},"""Bonita Ely""","{""coverage"": {""date"": {""year"": ""1946"", ""month"": ""8"", ""day"": ""10""}, ""place"": {""address"": {""ori_address"": ""Mildura, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Mildura"", ""postcode"": ""3500""}, ""ori_dbid"": {""$oid"": ""4da19593b538b73d930049e3""}, ""ori_address"": ""Mildura, VIC"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -34.2063006, ""longitude"": 142.1358321}}}}",1985
['award'],https://www.daao.org.au/bio/recognition/1979-henri-worland-memorial-arts-prize-warrnambool-vic,,recognition,False,"[{'year': '1979', 'month': '1', 'day': '1'}]",False,recognition,{'$oid': '4da19592b538b73d930049cd'},"[{'date': {'year': '1979', 'month': '1', 'day': '1'}}]",Henri Worland Memorial Arts Prize,{'$oid': '645811cfd72f0e29f61403a1'},"""Bonita Ely""","{""coverage"": {""date"": {""year"": ""1946"", ""month"": ""8"", ""day"": ""10""}, ""place"": {""address"": {""ori_address"": ""Mildura, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Mildura"", ""postcode"": ""3500""}, ""ori_dbid"": {""$oid"": ""4da19593b538b73d930049e3""}, ""ori_address"": ""Mildura, VIC"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -34.2063006, ""longitude"": 142.1358321}}}}",1979
['award'],https://www.daao.org.au/bio/recognition/2005-short-listed-national-sculpture-prize-national-gallery-of-australia-canberra-act,,recognition,False,"[{'year': '2005', 'month': '1', 'day': '1'}]",False,recognition,{'$oid': '4da19592b538b73d930049cf'},"[{'date': {'year': '2005', 'month': '1', 'day': '1'}}]","Short listed - National Sculpture Prize, National Gallery of Australia, Canberra, ACT",{'$oid': '645811d5d72f0e29f6140750'},"""Bonita Ely""","{""coverage"": {""date"": {""year"": ""1946"", ""month"": ""8"", ""day"": ""10""}, ""place"": {""address"": {""ori_address"": ""Mildura, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Mildura"", ""postcode"": ""3500""}, ""ori_dbid"": {""$oid"": ""4da19593b538b73d930049e3""}, ""ori_address"": ""Mildura, VIC"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -34.2063006, ""longitude"": 142.1358321}}}}",2005
['award'],https://www.daao.org.au/bio/recognition/melville-nettleship-prize-for-figure-composition,1903,recognition,False,[],False,recognition,{'$oid': '4da195dfb538b73d930061a4'},[{}],Melville Nettleship Prize for figure composition,{'$oid': '645811e1d72f0e29f6140e5d'},"""Ethel Carrick Fox""","{""coverage"": {""date"": {""year"": ""1872"", ""month"": ""2"", ""day"": ""7""}, ""place"": {""address"": {""ori_address"": ""Uxbridge, Middlesex (Greater London), England, United Kingdom"", ""country"": ""United Kingdom"", ""state"": ""England"", ""city"": ""London"", ""postcode"": ""UB8 1GB""}, ""ori_dbid"": {""$oid"": ""4da195dfb538b73d9300619b""}, ""ori_address"": ""Uxbridge, Middlesex (Greater London), England, UK"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": 51.54637, ""longitude"": -0.476722}}}}",
['award'],https://www.daao.org.au/bio/recognition/diploma-of-honour-at-the-bordeaux-international-exhibition,1928,recognition,False,[],False,recognition,{'$oid': '4da195dfb538b73d930061a3'},[{}],Diploma of Honour at the Bordeaux International Exhibition,{'$oid': '645811efd72f0e29f6141688'},"""Ethel Carrick Fox""","{""coverage"": {""date"": {""year"": ""1872"", ""month"": ""2"", ""day"": ""7""}, ""place"": {""address"": {""ori_address"": ""Uxbridge, Middlesex (Greater London), England, United Kingdom"", ""country"": ""United Kingdom"", ""state"": ""England"", ""city"": ""London"", ""postcode"": ""UB8 1GB""}, ""ori_dbid"": {""$oid"": ""4da195dfb538b73d9300619b""}, ""ori_address"": ""Uxbridge, Middlesex (Greater London), England, UK"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": 51.54637, ""longitude"": -0.476722}}}}",
['award'],https://www.daao.org.au/bio/recognition/melrose-prize-for-portraiture,1961,recognition,False,[],False,recognition,{'$oid': '4da195fab538b73d930068a4'},[{}],Melrose Prize for portraiture,{'$oid': '645811e7d72f0e29f614123d'},"""Dora Cecil Chapman""","{""coverage"": {""date"": {""year"": ""1911"", ""month"": ""3"", ""day"": ""24""}, ""place"": {""address"": {""ori_address"": ""Mount Barker, South Australia"", ""country"": ""Australia"", ""state"": ""South Australia"", ""city"": ""Mount Barker"", ""postcode"": ""5251""}, ""ori_dbid"": {""$oid"": ""4da195fab538b73d930068ac""}, ""ori_address"": ""Mount Barker, SA"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -35.0672411, ""longitude"": 138.8587342}}}}",
['award'],https://www.daao.org.au/bio/recognition/royal-south-australian-society-of-arts-portrait-prize,1941,recognition,False,[],False,recognition,{'$oid': '4da195fab538b73d930068a5'},[{}],Royal South Australian Society of Arts Portrait Prize,{'$oid': '645811e5d72f0e29f6141109'},"""Dora Cecil Chapman""","{""coverage"": {""date"": {""year"": ""1911"", ""month"": ""3"", ""day"": ""24""}, ""place"": {""address"": {""ori_address"": ""Mount Barker, South Australia"", ""country"": ""Australia"", ""state"": ""South Australia"", ""city"": ""Mount Barker"", ""postcode"": ""5251""}, ""ori_dbid"": {""$oid"": ""4da195fab538b73d930068ac""}, ""ori_address"": ""Mount Barker, SA"", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -35.0672411, ""longitude"": 138.8587342}}}}",
['award'],https://www.daao.org.au/bio/recognition/1964-awarded-the-obe,Order of the British Empire.,recognition,False,"[{'year': '1964', 'month': '1', 'day': '1'}]",False,recognition,{'$oid': '4da1963eb538b73d93007964'},"[{'date': {'year': '1964', 'month': '1', 'day': '1'}}]",Awarded the OBE,{'$oid': '645811d2d72f0e29f61405b3'},"""Ola Cohn""","{""coverage"": {""date"": {""year"": ""1892"", ""month"": ""4"", ""day"": ""25""}, ""place"": {""address"": {""ori_address"": ""Bendigo, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Greater Bendigo"", ""suburb"": ""Bendigo"", ""postcode"": ""3550""}, ""ori_dbid"": {""$oid"": ""4da194f6b538b73d9300061d""}, ""ori_address"": ""Bendigo, Vic."", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -36.7587112, ""longitude"": 144.2837459}}}}",1964
['award'],https://www.daao.org.au/bio/recognition/1952-acquisitive-crouch-prize,,recognition,False,"[{'year': '1952', 'month': '1', 'day': '1'}]",False,recognition,{'$oid': '4da1963eb538b73d93007965'},"[{'date': {'year': '1952', 'month': '1', 'day': '1'}}]",Acquisitive Crouch Prize,{'$oid': '645811ddd72f0e29f6140bed'},"""Ola Cohn""","{""coverage"": {""date"": {""year"": ""1892"", ""month"": ""4"", ""day"": ""25""}, ""place"": {""address"": {""ori_address"": ""Bendigo, Victoria"", ""country"": ""Australia"", ""state"": ""Victoria"", ""city"": ""Greater Bendigo"", ""suburb"": ""Bendigo"", ""postcode"": ""3550""}, ""ori_dbid"": {""$oid"": ""4da194f6b538b73d9300061d""}, ""ori_address"": ""Bendigo, Vic."", ""_class_ori"": ""place"", ""_class"": ""place"", ""geo_coord"": {""latitude"": -36.7587112, ""longitude"": 144.2837459}}}}",1952
